"File","Class","Heuristics"
"scripts/seedAirPods.js","DEV ONLY","prod-entities"
"scripts/seedAllCompetitions.js","DEV ONLY","prod-entities"
"scripts/seedAllCompetitions.mjs","DEV ONLY","prod-entities"
"scripts/seedAuditLogs.js","DEV ONLY","insertMany,prod-entities"
"scripts/seedCompetitions.js","DEV ONLY","prod-entities"
"scripts/seedCountries.js","DELETE?",""
"scripts/seedDailyCompetitions.js","DEV ONLY","prod-entities"
"scripts/seedFreeCompetition.js","DEV ONLY","prod-entities"
"scripts/seedMysteryBoxes.js","DEV ONLY","prod-entities"
"scripts/seedNintendo.js","DEV ONLY","prod-entities"
"scripts/seedPenthouseStay.js","DEV ONLY","prod-entities"
"scripts/seedPiCashCode.cjs","DELETE?",""
"scripts/seedPiCompetitions.mjs","DEV ONLY","prod-entities"
"scripts/seedPS5.js","DEV ONLY","prod-entities"
"scripts/seedPS5.mjs","DEV ONLY","prod-entities"
"scripts/seedThreads.js","DEV ONLY","insertMany"
"scripts/seedTV.js","DEV ONLY","prod-entities"
"scripts/seedWinners.js","DEV ONLY","insertMany"
"scripts/seedXbox.js","DEV ONLY","prod-entities"
"src/models/SeedCompetition.js","DELETE?",""
"src/pages/api/admin/seed-competitions.js","DEV ONLY","prod-entities"
"src/pages/api/dev/seed-pi-cash-code.js","DEV ONLY","prod-entities"
